"province","death_source_id","death_source_short","death_source_full"
"Manitoba",25,"MB25","https://news.gov.mb.ca/news/index.html?item=49573&posted=2020-11-04"
"Manitoba",26,"MB26","https://news.gov.mb.ca/news/index.html?item=49577&posted=2020-11-05"
"Manitoba",27,"MB27","https://www.cbc.ca/news/canada/manitoba/covid-19-manitoba-update-november-1-1.5785441"
"Manitoba",28,"MB28","https://www.gov.mb.ca/covid19/updates/index.htmll"
"Manitoba",180,"MB180","https://news.gov.mb.ca/news/?archive=&item=50107"
"Manitoba",181,"MB181","https://news.gov.mb.ca/news/index.html?item=50111"
"Manitoba",182,"MB182","https://news.gov.mb.ca/news/index.html?item=50117&posted=2020-12-29"
"Manitoba",185,"MB185","Province of Manitoba | COVID-19 (gov.mb.ca)"
"New Brunswick",1,"NB1","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.06.0324.html"
"New Brunswick",2,"NB2","https://atlantic.ctvnews.ca/new-brunswick-reports-second-covid-19-death-three-new-cases-in-campbellton-region-1.4982950"
"New Brunswick",3,"NB3","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.10.0537.html"
"New Brunswick",4,"NB4","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.10.0548.html"
"New Brunswick",5,"NB5","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.10.0553.html"
"New Brunswick",6,"NB6","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.11.0630.html"
"New Brunswick",142,"NB142","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.12.0674.html"
"NL",1,"NL1","https://www.cbc.ca/news/canada/newfoundland-labrador/covid-19-first-nl-death-1.5514516"
"NL",2,"NL2","https://covid-19-newfoundland-and-labrador-gnl.hub.arcgis.com/"
"NL",3,"NL3","https://www.cbc.ca/news/canada/newfoundland-labrador/covid-nl-oct-3-1.5749411"
"Nova Scotia",1,"NS1","https://novascotia.ca/news/release/?id=20200407001"
"Nova Scotia",2,"NS2","https://novascotia.ca/news/release/?id=20200409003"
"Nova Scotia",3,"NS3","https://novascotia.ca/news/release/?id=20200413001"
"Nova Scotia",4,"NS4","https://novascotia.ca/news/release/?id=20200417003"
"Nova Scotia",5,"NS5","https://novascotia.ca/coronavirus/data/"
"Nova Scotia",6,"NS6","https://novascotia.ca/news/release/?id=20200419001"
"Nova Scotia",7,"NS7","https://atlantic.ctvnews.ca/n-s-reports-one-more-covid-19-related-death-bringing-total-to-10-16-new-cases-1.4905283"
"Nova Scotia",8,"NS8","https://novascotia.ca/news/release/?id=20200422002"
"Nova Scotia",9,"NS9","https://novascotia.ca/news/release/?id=20200423001"
"Nova Scotia",10,"NS10","https://novascotia.ca/news/release/?id=20200425001"
"Nova Scotia",11,"NS11","https://novascotia.ca/news/release/?id=20200426001"
"Nova Scotia",12,"NS12","https://atlantic.ctvnews.ca/n-s-announces-3-more-deaths-at-northwood-15-new-cases-of-covid-19-1.4915183"
"Nova Scotia",13,"NS13","https://atlantic.ctvnews.ca/nova-scotia-reports-another-death-at-northwood-20-new-cases-of-covid-19-1.4917009"
"Nova Scotia",14,"NS14","https://novascotia.ca/news/release/?id=20200501005"
